T P CH4 O2 N2 AR
9.318181818181818699e+02 1.013250000000000000e+05 3.095187332271073094e-02 2.242863914460891672e-01 7.317973484364391767e-01 1.296438679476094764e-02
9.363636363636363740e+02 1.013250000000000000e+05 3.095187332271073094e-02 2.242863914460891672e-01 7.317973484364391767e-01 1.296438679476094764e-02
9.409090909090909918e+02 1.013250000000000000e+05 3.095187332271073094e-02 2.242863914460891672e-01 7.317973484364391767e-01 1.296438679476094764e-02
9.454545454545454959e+02 1.013250000000000000e+05 3.095187332271073094e-02 2.242863914460891672e-01 7.317973484364391767e-01 1.296438679476094764e-02
9.500000000000000000e+02 1.013250000000000000e+05 3.095187332271073094e-02 2.242863914460891672e-01 7.317973484364391767e-01 1.296438679476094764e-02
9.545454545454545041e+02 1.013250000000000000e+05 3.095187332271073094e-02 2.242863914460891672e-01 7.317973484364391767e-01 1.296438679476094764e-02
9.590909090909091219e+02 1.013250000000000000e+05 3.095187332271073094e-02 2.242863914460891672e-01 7.317973484364391767e-01 1.296438679476094764e-02
9.636363636363636260e+02 1.013250000000000000e+05 3.095187332271073094e-02 2.242863914460891672e-01 7.317973484364391767e-01 1.296438679476094764e-02
9.681818181818182438e+02 1.013250000000000000e+05 3.095187332271073094e-02 2.242863914460891672e-01 7.317973484364391767e-01 1.296438679476094764e-02
9.727272727272727479e+02 1.013250000000000000e+05 3.095187332271073094e-02 2.242863914460891672e-01 7.317973484364391767e-01 1.296438679476094764e-02
9.772727272727272521e+02 1.013250000000000000e+05 3.095187332271073094e-02 2.242863914460891672e-01 7.317973484364391767e-01 1.296438679476094764e-02
9.818181818181818699e+02 1.013250000000000000e+05 3.095187332271073094e-02 2.242863914460891672e-01 7.317973484364391767e-01 1.296438679476094764e-02
9.863636363636363740e+02 1.013250000000000000e+05 3.095187332271073094e-02 2.242863914460891672e-01 7.317973484364391767e-01 1.296438679476094764e-02
9.909090909090909918e+02 1.013250000000000000e+05 3.095187332271073094e-02 2.242863914460891672e-01 7.317973484364391767e-01 1.296438679476094764e-02
9.954545454545454959e+02 1.013250000000000000e+05 3.095187332271073094e-02 2.242863914460891672e-01 7.317973484364391767e-01 1.296438679476094764e-02
1.000000000000000000e+03 1.013250000000000000e+05 3.095187332271073094e-02 2.242863914460891672e-01 7.317973484364391767e-01 1.296438679476094764e-02
1.004545454545454504e+03 1.013250000000000000e+05 3.095187332271073094e-02 2.242863914460891672e-01 7.317973484364391767e-01 1.296438679476094764e-02
1.009090909090909122e+03 1.013250000000000000e+05 3.095187332271073094e-02 2.242863914460891672e-01 7.317973484364391767e-01 1.296438679476094764e-02
1.013636363636363626e+03 1.013250000000000000e+05 3.095187332271073094e-02 2.242863914460891672e-01 7.317973484364391767e-01 1.296438679476094764e-02
1.018181818181818244e+03 1.013250000000000000e+05 3.095187332271073094e-02 2.242863914460891672e-01 7.317973484364391767e-01 1.296438679476094764e-02
1.022727272727272748e+03 1.013250000000000000e+05 3.095187332271073094e-02 2.242863914460891672e-01 7.317973484364391767e-01 1.296438679476094764e-02
1.027272727272727252e+03 1.013250000000000000e+05 3.095187332271073094e-02 2.242863914460891672e-01 7.317973484364391767e-01 1.296438679476094764e-02
1.031818181818181756e+03 1.013250000000000000e+05 3.095187332271073094e-02 2.242863914460891672e-01 7.317973484364391767e-01 1.296438679476094764e-02
1.036363636363636488e+03 1.013250000000000000e+05 3.095187332271073094e-02 2.242863914460891672e-01 7.317973484364391767e-01 1.296438679476094764e-02
1.040909090909090992e+03 1.013250000000000000e+05 3.095187332271073094e-02 2.242863914460891672e-01 7.317973484364391767e-01 1.296438679476094764e-02
1.045454545454545496e+03 1.013250000000000000e+05 3.095187332271073094e-02 2.242863914460891672e-01 7.317973484364391767e-01 1.296438679476094764e-02
1.050000000000000000e+03 1.013250000000000000e+05 3.095187332271073094e-02 2.242863914460891672e-01 7.317973484364391767e-01 1.296438679476094764e-02
1.054545454545454504e+03 1.013250000000000000e+05 3.095187332271073094e-02 2.242863914460891672e-01 7.317973484364391767e-01 1.296438679476094764e-02
1.059090909090909008e+03 1.013250000000000000e+05 3.095187332271073094e-02 2.242863914460891672e-01 7.317973484364391767e-01 1.296438679476094764e-02
1.063636363636363740e+03 1.013250000000000000e+05 3.095187332271073094e-02 2.242863914460891672e-01 7.317973484364391767e-01 1.296438679476094764e-02
1.068181818181818244e+03 1.013250000000000000e+05 3.095187332271073094e-02 2.242863914460891672e-01 7.317973484364391767e-01 1.296438679476094764e-02
1.072727272727272748e+03 1.013250000000000000e+05 3.095187332271073094e-02 2.242863914460891672e-01 7.317973484364391767e-01 1.296438679476094764e-02
1.077272727272727252e+03 1.013250000000000000e+05 3.095187332271073094e-02 2.242863914460891672e-01 7.317973484364391767e-01 1.296438679476094764e-02
1.081818181818181984e+03 1.013250000000000000e+05 3.095187332271073094e-02 2.242863914460891672e-01 7.317973484364391767e-01 1.296438679476094764e-02
1.086363636363636488e+03 1.013250000000000000e+05 3.095187332271073094e-02 2.242863914460891672e-01 7.317973484364391767e-01 1.296438679476094764e-02
1.090909090909090992e+03 1.013250000000000000e+05 3.095187332271073094e-02 2.242863914460891672e-01 7.317973484364391767e-01 1.296438679476094764e-02
1.095454545454545496e+03 1.013250000000000000e+05 3.095187332271073094e-02 2.242863914460891672e-01 7.317973484364391767e-01 1.296438679476094764e-02
1.100000000000000000e+03 1.013250000000000000e+05 3.095187332271073094e-02 2.242863914460891672e-01 7.317973484364391767e-01 1.296438679476094764e-02
1.104545454545454504e+03 1.013250000000000000e+05 3.095187332271073094e-02 2.242863914460891672e-01 7.317973484364391767e-01 1.296438679476094764e-02
1.109090909090909008e+03 1.013250000000000000e+05 3.095187332271073094e-02 2.242863914460891672e-01 7.317973484364391767e-01 1.296438679476094764e-02
1.113636363636363740e+03 1.013250000000000000e+05 3.095187332271073094e-02 2.242863914460891672e-01 7.317973484364391767e-01 1.296438679476094764e-02
1.118181818181818244e+03 1.013250000000000000e+05 3.095187332271073094e-02 2.242863914460891672e-01 7.317973484364391767e-01 1.296438679476094764e-02
1.122727272727272748e+03 1.013250000000000000e+05 3.095187332271073094e-02 2.242863914460891672e-01 7.317973484364391767e-01 1.296438679476094764e-02
1.127272727272727252e+03 1.013250000000000000e+05 3.095187332271073094e-02 2.242863914460891672e-01 7.317973484364391767e-01 1.296438679476094764e-02
1.131818181818181984e+03 1.013250000000000000e+05 3.095187332271073094e-02 2.242863914460891672e-01 7.317973484364391767e-01 1.296438679476094764e-02
1.136363636363636488e+03 1.013250000000000000e+05 3.095187332271073094e-02 2.242863914460891672e-01 7.317973484364391767e-01 1.296438679476094764e-02
1.140909090909090992e+03 1.013250000000000000e+05 3.095187332271073094e-02 2.242863914460891672e-01 7.317973484364391767e-01 1.296438679476094764e-02
1.145454545454545496e+03 1.013250000000000000e+05 3.095187332271073094e-02 2.242863914460891672e-01 7.317973484364391767e-01 1.296438679476094764e-02
1.150000000000000000e+03 1.013250000000000000e+05 3.095187332271073094e-02 2.242863914460891672e-01 7.317973484364391767e-01 1.296438679476094764e-02
1.154545454545454504e+03 1.013250000000000000e+05 3.095187332271073094e-02 2.242863914460891672e-01 7.317973484364391767e-01 1.296438679476094764e-02
1.159090909090909008e+03 1.013250000000000000e+05 3.095187332271073094e-02 2.242863914460891672e-01 7.317973484364391767e-01 1.296438679476094764e-02
1.163636363636363740e+03 1.013250000000000000e+05 3.095187332271073094e-02 2.242863914460891672e-01 7.317973484364391767e-01 1.296438679476094764e-02
1.168181818181818244e+03 1.013250000000000000e+05 3.095187332271073094e-02 2.242863914460891672e-01 7.317973484364391767e-01 1.296438679476094764e-02
1.172727272727272748e+03 1.013250000000000000e+05 3.095187332271073094e-02 2.242863914460891672e-01 7.317973484364391767e-01 1.296438679476094764e-02
1.177272727272727252e+03 1.013250000000000000e+05 3.095187332271073094e-02 2.242863914460891672e-01 7.317973484364391767e-01 1.296438679476094764e-02
1.181818181818181984e+03 1.013250000000000000e+05 3.095187332271073094e-02 2.242863914460891672e-01 7.317973484364391767e-01 1.296438679476094764e-02
1.186363636363636488e+03 1.013250000000000000e+05 3.095187332271073094e-02 2.242863914460891672e-01 7.317973484364391767e-01 1.296438679476094764e-02
1.190909090909090992e+03 1.013250000000000000e+05 3.095187332271073094e-02 2.242863914460891672e-01 7.317973484364391767e-01 1.296438679476094764e-02
1.195454545454545496e+03 1.013250000000000000e+05 3.095187332271073094e-02 2.242863914460891672e-01 7.317973484364391767e-01 1.296438679476094764e-02
1.200000000000000000e+03 1.013250000000000000e+05 3.095187332271073094e-02 2.242863914460891672e-01 7.317973484364391767e-01 1.296438679476094764e-02
1.204545454545454504e+03 1.013250000000000000e+05 3.095187332271073094e-02 2.242863914460891672e-01 7.317973484364391767e-01 1.296438679476094764e-02
1.209090909090909008e+03 1.013250000000000000e+05 3.095187332271073094e-02 2.242863914460891672e-01 7.317973484364391767e-01 1.296438679476094764e-02
1.213636363636363740e+03 1.013250000000000000e+05 3.095187332271073094e-02 2.242863914460891672e-01 7.317973484364391767e-01 1.296438679476094764e-02
1.218181818181818244e+03 1.013250000000000000e+05 3.095187332271073094e-02 2.242863914460891672e-01 7.317973484364391767e-01 1.296438679476094764e-02
1.222727272727272748e+03 1.013250000000000000e+05 3.095187332271073094e-02 2.242863914460891672e-01 7.317973484364391767e-01 1.296438679476094764e-02
1.227272727272727252e+03 1.013250000000000000e+05 3.095187332271073094e-02 2.242863914460891672e-01 7.317973484364391767e-01 1.296438679476094764e-02
1.231818181818181984e+03 1.013250000000000000e+05 3.095187332271073094e-02 2.242863914460891672e-01 7.317973484364391767e-01 1.296438679476094764e-02
1.236363636363636488e+03 1.013250000000000000e+05 3.095187332271073094e-02 2.242863914460891672e-01 7.317973484364391767e-01 1.296438679476094764e-02
1.240909090909090992e+03 1.013250000000000000e+05 3.095187332271073094e-02 2.242863914460891672e-01 7.317973484364391767e-01 1.296438679476094764e-02
1.245454545454545496e+03 1.013250000000000000e+05 3.095187332271073094e-02 2.242863914460891672e-01 7.317973484364391767e-01 1.296438679476094764e-02
1.250000000000000000e+03 1.013250000000000000e+05 3.095187332271073094e-02 2.242863914460891672e-01 7.317973484364391767e-01 1.296438679476094764e-02
8.000000000000000000e+02 1.013250000000000000e+05 2.957405217564048477e-02 2.246052884385368598e-01 7.328378394443553212e-01 1.298281994146736201e-02
8.045454545454545041e+02 1.013250000000000000e+05 2.957405217564048477e-02 2.246052884385368598e-01 7.328378394443553212e-01 1.298281994146736201e-02
8.090909090909091219e+02 1.013250000000000000e+05 2.957405217564048477e-02 2.246052884385368598e-01 7.328378394443553212e-01 1.298281994146736201e-02
8.136363636363636260e+02 1.013250000000000000e+05 2.957405217564048477e-02 2.246052884385368598e-01 7.328378394443553212e-01 1.298281994146736201e-02
8.181818181818181301e+02 1.013250000000000000e+05 2.957405217564048477e-02 2.246052884385368598e-01 7.328378394443553212e-01 1.298281994146736201e-02
8.227272727272727479e+02 1.013250000000000000e+05 2.957405217564048477e-02 2.246052884385368598e-01 7.328378394443553212e-01 1.298281994146736201e-02
8.272727272727272521e+02 1.013250000000000000e+05 2.957405217564048477e-02 2.246052884385368598e-01 7.328378394443553212e-01 1.298281994146736201e-02
8.318181818181818699e+02 1.013250000000000000e+05 2.957405217564048477e-02 2.246052884385368598e-01 7.328378394443553212e-01 1.298281994146736201e-02
8.363636363636363740e+02 1.013250000000000000e+05 2.957405217564048477e-02 2.246052884385368598e-01 7.328378394443553212e-01 1.298281994146736201e-02
8.409090909090908781e+02 1.013250000000000000e+05 2.957405217564048477e-02 2.246052884385368598e-01 7.328378394443553212e-01 1.298281994146736201e-02
8.454545454545454959e+02 1.013250000000000000e+05 2.957405217564048477e-02 2.246052884385368598e-01 7.328378394443553212e-01 1.298281994146736201e-02
8.500000000000000000e+02 1.013250000000000000e+05 2.957405217564048477e-02 2.246052884385368598e-01 7.328378394443553212e-01 1.298281994146736201e-02
8.545454545454545041e+02 1.013250000000000000e+05 2.957405217564048477e-02 2.246052884385368598e-01 7.328378394443553212e-01 1.298281994146736201e-02
8.590909090909091219e+02 1.013250000000000000e+05 2.957405217564048477e-02 2.246052884385368598e-01 7.328378394443553212e-01 1.298281994146736201e-02
8.636363636363636260e+02 1.013250000000000000e+05 2.957405217564048477e-02 2.246052884385368598e-01 7.328378394443553212e-01 1.298281994146736201e-02
8.681818181818182438e+02 1.013250000000000000e+05 2.957405217564048477e-02 2.246052884385368598e-01 7.328378394443553212e-01 1.298281994146736201e-02
8.727272727272727479e+02 1.013250000000000000e+05 2.957405217564048477e-02 2.246052884385368598e-01 7.328378394443553212e-01 1.298281994146736201e-02
8.772727272727272521e+02 1.013250000000000000e+05 2.957405217564048477e-02 2.246052884385368598e-01 7.328378394443553212e-01 1.298281994146736201e-02
8.818181818181818699e+02 1.013250000000000000e+05 2.957405217564048477e-02 2.246052884385368598e-01 7.328378394443553212e-01 1.298281994146736201e-02
8.863636363636363740e+02 1.013250000000000000e+05 2.957405217564048477e-02 2.246052884385368598e-01 7.328378394443553212e-01 1.298281994146736201e-02
8.909090909090908781e+02 1.013250000000000000e+05 2.957405217564048477e-02 2.246052884385368598e-01 7.328378394443553212e-01 1.298281994146736201e-02
8.954545454545454959e+02 1.013250000000000000e+05 2.957405217564048477e-02 2.246052884385368598e-01 7.328378394443553212e-01 1.298281994146736201e-02
9.000000000000000000e+02 1.013250000000000000e+05 2.957405217564048477e-02 2.246052884385368598e-01 7.328378394443553212e-01 1.298281994146736201e-02
9.045454545454545041e+02 1.013250000000000000e+05 2.957405217564048477e-02 2.246052884385368598e-01 7.328378394443553212e-01 1.298281994146736201e-02
9.090909090909091219e+02 1.013250000000000000e+05 2.957405217564048477e-02 2.246052884385368598e-01 7.328378394443553212e-01 1.298281994146736201e-02
9.136363636363636260e+02 1.013250000000000000e+05 2.957405217564048477e-02 2.246052884385368598e-01 7.328378394443553212e-01 1.298281994146736201e-02
9.181818181818182438e+02 1.013250000000000000e+05 2.957405217564048477e-02 2.246052884385368598e-01 7.328378394443553212e-01 1.298281994146736201e-02
9.227272727272727479e+02 1.013250000000000000e+05 2.957405217564048477e-02 2.246052884385368598e-01 7.328378394443553212e-01 1.298281994146736201e-02
9.272727272727272521e+02 1.013250000000000000e+05 2.957405217564048477e-02 2.246052884385368598e-01 7.328378394443553212e-01 1.298281994146736201e-02
9.318181818181818699e+02 1.013250000000000000e+05 2.957405217564048477e-02 2.246052884385368598e-01 7.328378394443553212e-01 1.298281994146736201e-02
9.363636363636363740e+02 1.013250000000000000e+05 2.957405217564048477e-02 2.246052884385368598e-01 7.328378394443553212e-01 1.298281994146736201e-02
9.409090909090909918e+02 1.013250000000000000e+05 2.957405217564048477e-02 2.246052884385368598e-01 7.328378394443553212e-01 1.298281994146736201e-02
9.454545454545454959e+02 1.013250000000000000e+05 2.957405217564048477e-02 2.246052884385368598e-01 7.328378394443553212e-01 1.298281994146736201e-02
9.500000000000000000e+02 1.013250000000000000e+05 2.957405217564048477e-02 2.246052884385368598e-01 7.328378394443553212e-01 1.298281994146736201e-02
9.545454545454545041e+02 1.013250000000000000e+05 2.957405217564048477e-02 2.246052884385368598e-01 7.328378394443553212e-01 1.298281994146736201e-02
